Response,Linear*2,Noise,LinearNoise_1LinearNoise_5LinearNoise_9,_c4,_c5,LinearNoise2Quadratic,_c7,Cubic
0.266982,0.533963,0.586533,0.325635,0.560248,0.794861,1.440047,0.533963,1.067927
0.599187,1.198373,0.010359,0.600223,0.604366,0.608510,0.619905,1.198373,2.396747
0.451625,0.903250,0.473442,0.498969,0.688346,0.877723,1.398509,0.903250,1.806500
0.558232,1.116464,0.427772,0.601009,0.772118,0.943227,1.413776,1.116464,2.232928
0.551587,1.103174,0.482376,0.599824,0.792775,0.985725,1.516338,1.103174,2.206348
0.852045,1.704090,0.619557,0.914001,1.161823,1.409646,2.091159,1.704090,3.408180
0.720349,1.440698,0.938910,0.814240,1.189804,1.565367,2.598168,1.440698,2.881395
0.504449,1.008898,0.176114,0.522061,0.592506,0.662952,0.856677,1.008898,2.017797
0.859427,1.718855,0.499212,0.909349,1.109034,1.308719,1.857852,1.718855,3.437710
0.606629,1.213259,0.232419,0.629871,0.722839,0.815806,1.071466,1.213259,2.426517
0.055602,0.111204,0.394652,0.095067,0.252928,0.410788,0.844905,0.111204,0.222407
0.085890,0.171780,0.806095,0.166500,0.488938,0.811376,1.698080,0.171780,0.343561
0.237267,0.474535,0.611928,0.298460,0.543231,0.788002,1.461123,0.474535,0.949070
0.295376,0.590752,0.259660,0.321342,0.425206,0.529070,0.814696,0.590752,1.181505
0.920620,1.841240,0.451996,0.965819,1.146618,1.327417,1.824613,1.841240,3.682479
0.761555,1.523110,0.333949,0.794950,0.928529,1.062109,1.429452,1.523110,3.046220
0.525127,1.050255,0.545368,0.579664,0.797812,1.015959,1.615864,1.050255,2.100510
0.227732,0.455464,0.760618,0.303794,0.608041,0.912288,1.748968,0.455464,0.910929
0.385676,0.771351,0.129428,0.398618,0.450390,0.502161,0.644531,0.771351,1.542703
0.053057,0.106113,0.851281,0.138185,0.478697,0.819210,1.755619,0.106113,0.212227
0.044985,0.089970,0.436454,0.088631,0.263212,0.437794,0.917893,0.089970,0.179941
0.944591,1.889182,0.819730,1.026564,1.354456,1.682348,2.584051,1.889182,3.778363
0.626241,1.252481,0.429381,0.669179,0.840931,1.012683,1.485002,1.252481,2.504962
0.150334,0.300668,0.716313,0.221965,0.508490,0.795016,1.582959,0.300668,0.601337
0.184418,0.368836,0.527502,0.237168,0.448169,0.659170,1.239422,0.368836,0.737672
